Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Fatty Acid Derivative Biosynthetic Process (GO:1901570),1/28,0.0125320453634479,0.0244045093919775,0,0,92.42592592592592,404.7762265532091,ACACA
GO_Biological_Process_2023,Regulation Of Lipid Biosynthetic Process (GO:0046890),1/28,0.0125320453634479,0.0244045093919775,0,0,92.42592592592592,404.7762265532091,PPARA
GO_Biological_Process_2023,Negative Regulation Of Type II Interferon Production (GO:0032689),1/28,0.0125320453634479,0.0244045093919775,0,0,92.42592592592592,404.7762265532091,NR1H4
GO_Biological_Process_2023,Positive Regulation Of Viral Genome Replication (GO:0045070),1/29,0.0129770265246845,0.0250824617156216,0,0,89.12053571428571,387.1908225092229,PPARA
GO_Biological_Process_2023,Negative Regulation Of Carbohydrate Metabolic Process (GO:0045912),1/30,0.0134218294793273,0.0257500284084872,0,0,86.04310344827586,370.92087702683546,PPARA
GO_Biological_Process_2023,Triglyceride Homeostasis (GO:0070328),1/31,0.01386645428907,0.0262146836559791,0,0,83.17083333333333,355.82833874131705,NR1H4
GO_Biological_Process_2023,Positive Regulation Of Cholesterol Transport (GO:0032376),1/31,0.01386645428907,0.0262146836559791,0,0,83.17083333333333,355.82833874131705,PPARG
GO_Biological_Process_2023,Regulation Of Cholesterol Efflux (GO:0010874),1/32,0.0143109010156188,0.0266656357053617,0,0,80.48387096774194,341.7935690237759,PPARG
GO_Biological_Process_2023,Negative Regulation Of Osteoblast Differentiation (GO:0045668),1/32,0.0143109010156188,0.0266656357053617,0,0,80.48387096774194,341.7935690237759,PPARG
GO_Biological_Process_2023,Positive Regulation Of DNA Binding (GO:0043388),1/33,0.0147551697178423,0.0269125982881772,0,0,77.96484375,328.7123934869669,PPARG
GO_Biological_Process_2023,Negative Regulation Of Small Molecule Metabolic Process (GO:0062014),1/33,0.0147551697178423,0.0269125982881772,0,0,77.96484375,328.7123934869669,PPARA
GO_Biological_Process_2023,Negative Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043537),1/33,0.0147551697178423,0.0269125982881772,0,0,77.96484375,328.7123934869669,PPARG
GO_Biological_Process_2023,Regulation Of Interleukin-17 Production (GO:0032660),1/34,0.0151992604555411,0.0275287304754207,0,0,75.59848484848484,316.4936999007962,NR1H4
GO_Biological_Process_2023,Response To Nutrient Levels (GO:0031667),1/35,0.0156431732908392,0.0281359852939399,0,0,73.37132352941177,305.0574683216414,PPARD
GO_Biological_Process_2023,Negative Regulation Of Protein Kinase B Signaling (GO:0051898),1/36,0.0160869082852461,0.0287341648632587,0,0,71.27142857142857,294.3331456349383,PPARA
GO_Biological_Process_2023,Negative Regulation Of Endothelial Cell Migration (GO:0010596),1/37,0.0165304655004847,0.0287341648632587,0,0,69.28819444444444,284.25829643277825,PPARG
GO_Biological_Process_2023,Negative Regulation Of Endothelial Cell Proliferation (GO:0001937),1/37,0.0165304655004847,0.0287341648632587,0,0,69.28819444444444,284.25829643277825,PPARG
