name,smiles,max_tc,DrugCLIP_Target,DrugCLIP_Score,active_score,toxicity_score,recommend_score
T10953,Cc1cccc(C)c1OCc1cc(C(=O)N2CCC(c3ccncc3)CC2)no1,0.305900,PPARG,0.365200,0.188658,0.521595,0.090255
T1172,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,0.301400,NR1H3,0.229400,0.151317,0.712797,0.043459
T41015L,[H][C@@]12CC=C3C[C@@H](OS(=O)(=O)[O-])CC[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@H](C)CCCC(C)(C)O,0.301200,RXRG,0.277600,0.053382,0.691892,0.016447
T0095,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,0.298700,PPARG,0.343500,0.085905,0.716645,0.024342
T9375,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,0.296300,PPARG,0.473600,0.164361,0.705218,0.048451
TN1879,C[C@H](CCC(=O)O)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O,0.296300,THRB,0.259500,0.098547,0.715167,0.028069
T27832,CC(C)(C)c1ccc(CCC(O)COc2ccc(C(=O)O)cc2)cc1,0.295100,PPARG,0.323200,0.113366,0.664168,0.038072
T40548,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,0.294700,SCD,0.236100,0.128615,0.568482,0.055500
T10783,Cn1c(-c2cccnc2)c(CCCCCC(=O)O)c2cc(Cl)ccc21,0.292700,SCD,0.361600,0.143220,0.625812,0.053591
T16126,C[C@](C#N)(COc1cc(C#N)ccc1C(F)(F)F)NC(=O)c1ccc(SC(F)(F)F)cc1,0.291700,AOC3,0.273400,0.182703,0.658094,0.062467
T84364,C[C@@](C#N)(COc1cc(C#N)ccc1C(F)(F)F)NC(=O)c1ccc(SC(F)(F)F)cc1,0.291700,AOC3,0.236100,0.182703,0.658094,0.062467
T0841,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,0.290300,PPARG,0.468000,0.122529,0.615770,0.047079
T9594,N#Cc1ccc2c(c1)[C@H]1CCCN(C(=O)c3ccc4nc[nH]c4c3)[C@H]1C2,0.288900,RXRA,0.442600,0.252418,0.662869,0.085098
T13033,CC(C)Oc1ccc(C(=O)NS(=O)(=O)c2ccc(N)cc2)cc1,0.288100,RXRB,0.466800,0.134030,0.774095,0.030278
T72078,CCOc1ccc(NC(=O)c2ccc(-c3nnn[nH]3)cc2)cc1,0.281200,PPARG,0.501500,0.169133,0.704165,0.050035
T41372,CC[C@@H](C(C)C)[C@H](O)[C@@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@]12C,0.280500,RXRG,0.326200,0.062785,0.552247,0.028112
T8465,[H][C@@]12COC(=O)[C@@]3([H])C[C@H](O)[C@H](O)C[C@]3(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@H](C)[C@@H](O)[C@H](O)[C@@H](CC)C(C)C,0.280500,PPARG,0.289100,0.062785,0.552247,0.028112
TQ0266,Cc1[nH]nc2ncc(C(=O)N3CCC[C@H]3c3ccc(Cl)cc3)cc12,0.279100,NR1H3,0.531200,0.310247,0.678881,0.099626
T2027,O=C(COc1ccc(Cl)cc1)NC1CCC(NC(=O)COc2ccc(Cl)cc2)CC1,0.272700,NR1H3,0.434100,0.144772,0.572176,0.061937
T6183,O=C(COc1ccc(Cl)cc1)N[C@H]1CC[C@H](NC(=O)COc2ccc(Cl)cc2)CC1,0.272700,NR1H3,0.434300,0.167949,0.532470,0.078521
T4662,CCc1ccc(OCC(=O)Nc2ccc(F)c([N+](=O)[O-])c2)cc1,0.272700,PPARG,0.402600,0.179355,0.648979,0.062957
T13911,[H][C@@]12CC[C@]([H])([C@H](C)CC[C@@H](O)C(C)C)[C@@]1(C)CCC/C2=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,0.271600,AOC3,0.252700,0.057348,0.708178,0.016735
T9061,C=CC(=O)NCc1ccc(C(=O)Nc2ccccc2Oc2ccc(OCC)cc2)cc1,0.271400,PPARG,0.216200,0.184172,0.530473,0.086474
T15250,N#Cc1ccc(-c2cnc3ccc(-c4ccc(C(=O)N5CCOCC5)cc4)cn23)cc1,0.270600,PPARG,0.313200,0.227701,0.780500,0.049980
T9872,CCc1oc2ccccc2c1C(=O)c1ccc(OCC(=O)O)cc1,0.269800,PPARG,0.575700,0.085512,0.635460,0.031173
T15575,COc1ccc(S(=O)(=O)n2cc(CCC(=O)O)c3cc(OC)ccc32)cc1,0.269200,PPARG,0.464100,0.088602,0.587869,0.036516
T32824,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1Cc1ccc(Cl)cc1,0.269200,NR1H4,0.274200,0.135491,0.698203,0.040891
